,genre,mel_spectrogram_path,segment_index,mel_spectrogram_shape,original_audio_path
0,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00030.wav
1,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00030.wav
2,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00030.wav
3,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00030.wav
4,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00030.wav
5,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00030.wav
6,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00049.wav
7,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00049.wav
8,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00049.wav
9,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00049.wav
10,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00049.wav
